"DAT_EMISSAO","TipoVeiculo","QTD_CHASSI","VALOR_TOTAL_NF"
"2006-08-29","Motocicleta",35,200200.24
"2006-08-29","Motocicleta",182,1233924.5799999998
"2006-08-29","Automóvel",242,8140207.45
"2006-08-29","Caminhonete",8,503240
"2006-08-29","Caminhão",8,759400
"2006-08-29","Outros",13,952421.76
"2006-08-29","Outros",2,245500
"2006-08-30","Motocicleta",45,256402.59
"2006-08-30","Motocicleta",275,1795232.1699999997
"2006-08-30","Automóvel",149,4812811.99
"2006-08-30","Ônibus e Microonibus",2,149433.49
"2006-08-30","Ônibus e Microonibus",5,746695
"2006-08-30","Caminhonete",6,321989.76
"2006-08-30","Caminhão",10,1059720
"2006-08-30","Outros",18,1150394.34
"2006-08-30","Outros",5,597000
"2006-08-31","Motocicleta",52,296484.81
"2006-08-31","Motocicleta",403,2622824.0999999996
"2006-08-31","Automóvel",163,5837037.67
"2006-08-31","Ônibus e Microonibus",3,249557.32
"2006-08-31","Ônibus e Microonibus",12,2320687.5
"2006-08-31","Caminhonete",8,429344.5
"2006-08-31","Caminhão",41,5090451.98
"2006-08-31","Outros",9,1890000
"2006-08-31","Outros",10,486328.85
"2006-08-31","Outros",1,128000
"2006-09-01","Motocicleta",17,93061.68999999999
"2006-09-01","Motocicleta",119,830765.0699999998
"2006-09-01","Automóvel",48,1996914.69
"2006-09-01","Caminhonete",4,375500
"2006-09-01","Outros",2,390000
"2006-09-01","Outros",6,480383.92
"2006-09-01","Outros",4,607800
"2006-09-02","Motocicleta",7,40587.81
"2006-09-02","Motocicleta",45,290638.72000000003
"2006-09-02","Automóvel",30,1068463.7100000002
"2006-09-02","Caminhonete",1,37270
"2006-09-02","Outros",1,153900
"2006-09-04","Motocicleta",27,151875.89
"2006-09-04","Motocicleta",140,984553.1299999999
"2006-09-04","Automóvel",135,4460886.409999997
"2006-09-04","Caminhonete",5,304130
"2006-09-04","Caminhão",7,848000
"2006-09-04","Outros",9,534144.86
"2006-09-05","Motocicleta",24,137109.77000000002
"2006-09-05","Motocicleta",170,1129566.44
"2006-09-05","Outros",1,10000
"2006-09-05","Automóvel",107,3826715.7499999995
"2006-09-05","Ônibus e Microonibus",1,123800
"2006-09-05","Ônibus e Microonibus",1,207900
"2006-09-05","Caminhonete",9,471840.03
"2006-09-05","Caminhão",1,89500
"2006-09-05","Outros",15,1114888.48
"2006-09-05","Outros",1,109000
"2006-09-06","Motocicleta",26,149182.83999999997
"2006-09-06","Motocicleta",185,1208690.91
"2006-09-06","Automóvel",73,2641396.82
"2006-09-06","Ônibus e Microonibus",3,167219.91999999998
"2006-09-06","Caminhonete",3,148749.02
"2006-09-06","Caminhão",13,2549500
"2006-09-06","Outros",6,447038.58
"2006-09-06","Outros",1,156000
"2006-09-07","Motocicleta",1,5800
"2006-09-07","Motocicleta",2,16700
"2006-09-07","Automóvel",1,29798.65
"2006-09-08","Motocicleta",14,79272.73999999999
"2006-09-08","Motocicleta",144,960598.8200000002
"2006-09-08","Automóvel",68,2422154.34
"2006-09-08","Ônibus e Microonibus",2,83849.41
